index,label,expression,Positive_index,context,AnchorContext,NegativeSentence,NegativeExpression,Negative_index
0,1,attacking,45,"Mr. Schnittke is also a composer of extremes , and in the new Fourth Piano Sonata he has Mr. Feltsman achieving kinetic climaxes at the highest and lowest registers simultaneously , the pianist 's arms widely extended and lunging at the piano like a hawk attacking his prey .","Mr. Schnittke is also a composer of extremes , and in the new Fourth Piano Sonata he has Mr. Feltsman achieving kinetic climaxes at the highest and lowest registers simultaneously , the pianist 's arms widely extended and lunging at the piano like a hawk [Mask] his prey .","Plucking bonbons with a pinkie in the air , or daintily miming a billiard shot , he seems almost to be dancing through the role , a rosy cherub in grownup clothing .",dancing,21
1,1,targeted,33,"Philip Morris also has $ 1.5 billion in available cash and the ability to acquire more funding if necessary , although people close to the company said some of the funds available are targeted for other corporate purposes and for expenses related to the proposed acquisition .","Philip Morris also has $ 1.5 billion in available cash and the ability to acquire more funding if necessary , although people close to the company said some of the funds available are [Mask] for other corporate purposes and for expenses related to the proposed acquisition .","Horace Furumoto , chairman and chief executive officer , said the company recently has completed its first phase as a public company , which included the development of lasers for removing birthmarks and for destroying kidney stones without surgery .",destroying,34
2,1,targeting,28,"Since May , he has hired a marketing consultant , a creative director and a new marketing manager to help Hanover use its consumer lists more effectively , targeting only those consumers most likely to buy .","Since May , he has hired a marketing consultant , a creative director and a new marketing manager to help Hanover use its consumer lists more effectively , [Mask] only those consumers most likely to buy .","Airlines say they have lessened the risk by focusing increases on business fliers , who often must fly at any price .",fly,17
3,0,killed,2,"The storm killed about 100 people on land , and left more than 100 , 000 homeless .","The storm [Mask] about 100 people on land , and left more than 100 , 000 homeless .","Iranian guns pummeled Basra on the war 's first day , and in the following eight years , about 65 , 000 shells rained down .",rained,23
4,0,drank,7,Mr. Andrews ate rancid mutton fat and drank mare 's milk in the Gobi with the best and worst of them .,Mr. Andrews ate rancid mutton fat and [Mask] mare 's milk in the Gobi with the best and worst of them .,It pours toilet paper in parts of Michigan .,pours,1
5,0,rained,9,"Then , after 3 1 2 innings , it rained , with the Cubs ahead , 3-1 .","Then , after 3 1 2 innings , it [Mask] , with the Cubs ahead , 3-1 .","Despite the potential drawbacks , the networks are plowing ahead .",plowing,8
6,0,planted,20,"However , new-crop beans -- to be planted this spring -- were up on continued expectations that this year 's planted acreage wo n't exceed last year 's by much , analysts said .","However , new-crop beans -- to be planted this spring -- were up on continued expectations that this year 's [Mask] acreage wo n't exceed last year 's by much , analysts said .","If dry weather cuts normal production by just three bushels an acre , the nation 's soybean stockpiles could evaporate by next year , says Richard Loewy , senior grain and oilseed analyst at Prudential-Bache Securities Inc .",evaporate,19
7,1,evaporate,19,"At least one dealer , Mr. Feigen , feels that art as an investment is a fad that could evaporate if the Japanese economy weakens .","At least one dealer , Mr. Feigen , feels that art as an investment is a fad that could [Mask] if the Japanese economy weakens .","It could even store some first-class sleeping berths , says Mr. Newkirk .",sleeping,6
8,1,evaporated,29,"Austrian companies , for example , complain that their sales of shoes and clothes to the Soviet Union -- more than $ 100 million in 1984 -- have almost evaporated .","Austrian companies , for example , complain that their sales of shoes and clothes to the Soviet Union -- more than $ 100 million in 1984 -- have almost [Mask] .","And Mr. Gorbachev 's proposal to remove aircraft -- which easily can fly back to Central Europe during a crisis -- would be meaningless unless they are destroyed , Mr. Chalmers says .",destroyed,27
9,0,cooling,15,"The revolutionary gallium arsenide circuits used in a forthcoming model , the Cray-3 , experienced cooling problems that resulted in millions of dollars of added costs .","The revolutionary gallium arsenide circuits used in a forthcoming model , the Cray-3 , experienced [Mask] problems that resulted in millions of dollars of added costs .","In April 1981 , the task force targeted some 30 regulatory changes -- reducing the cost of producing automobiles by more than a billion dollars a year without compromising legitimate regulatory protections .",targeted,7
10,1,cooling,28,The delay agreed to by the railroad and the United Transportation Union will give Congress a chance to take final action today on a bill reinstating a government-ordered cooling off period in the long-running labor dispute .,The delay agreed to by the railroad and the United Transportation Union will give Congress a chance to take final action today on a bill reinstating a government-ordered [Mask] off period in the long-running labor dispute .,"As previously reported , Eastern , locked in a longstanding labor-management feud , has contracted with Orion Air , a unit of Primark Corp . , to provide pilots to fly Eastern aircraft should contract talks end in a strike .",fly,30
11,1,flooded,16,"He said that in the wake of the airliner incident , U.S. intelligence agencies have been flooded with warnings , many of them of questionable reliability , of possible Iranian-sponsored attacks .","He said that in the wake of the airliner incident , U.S. intelligence agencies have been [Mask] with warnings , many of them of questionable reliability , of possible Iranian-sponsored attacks .","Administration officials said data collected by the U.S . , Japan , and Bahrain has confirmed South Korean charges that two North Korean agents planted a bomb that killed 115 people aboard a KAL jet last November .",killed,28
12,1,poured,1,"China poured tens of thousands of dollars into producing the country 's first batch of U.S.-trained M.B.A.s , including Mr. Wang .","China [Mask] tens of thousands of dollars into producing the country 's first batch of U.S.-trained M.B.A.s , including Mr. Wang .","It could even store some first-class sleeping berths , says Mr. Newkirk .",sleeping,6
13,1,destroyed,23,"Astrotech went into a deep tailspin two years ago , officials say , with the explosion of the Space Shuttle Challenger , which destroyed hopes of near-term commercial space travel .","Astrotech went into a deep tailspin two years ago , officials say , with the explosion of the Space Shuttle Challenger , which [Mask] hopes of near-term commercial space travel .","The new calculations showed the shuttle could fly safely , he said .",fly,7
14,0,planted,5,"The winter wheat crop , planted last fall , `` is deteriorating as it matures because of moisture deficiencies , '' said Mr. Schwensen .","The winter wheat crop , [Mask] last fall , `` is deteriorating as it matures because of moisture deficiencies , '' said Mr. Schwensen .","`` The big question is whether the pest problems are happening by themselves or whether opportunistic insects are attacking weakened trees , '' said David Marvin , a maple syrup producer in Johnson , Vt .",attacking,18
15,1,sleep,12,"Perhaps the Logan regulators have made themselves a bed they can not sleep in , suggests Mr. Smith: `` An ideology of radical egalitarianism that sees people as uniform blocks of mud is what gives you the idea that 200 scouts are better than two CEOs . ''/''","Perhaps the Logan regulators have made themselves a bed they can not [Mask] in , suggests Mr. Smith: `` An ideology of radical egalitarianism that sees people as uniform blocks of mud is what gives you the idea that 200 scouts are better than two CEOs . ''/''","`` Every day I come into Manhattan , I see people sleeping in boxes , '' he says .",sleeping,11
16,0,dance,14,"Even more inadvertently hilarious is Alexander Godunov , the Soviet defector who used to dance for a living .","Even more inadvertently hilarious is Alexander Godunov , the Soviet defector who used to [Mask] for a living .","Colgate Venture has stumbled , too .",stumbled,3
17,0,destroy,13,"Because they 're so accurate , cruise missiles can use conventional bombs to destroy targets that only a few years ago required nuclear warheads .","Because they 're so accurate , cruise missiles can use conventional bombs to [Mask] targets that only a few years ago required nuclear warheads .","By hitching a ride on these proteins , drugs can be very narrowly targeted to attack diseased cells , Mr. McCamant says .",attack,15
18,1,pouring,4,Mr. Icahn is already pouring money into his effort to fight Texaco 's plan .,Mr. Icahn is already [Mask] money into his effort to fight Texaco 's plan .,Mr. Tyson was in London on business and had to fly back this weekend .,fly,10
19,1,evaporate,22,"If widespread window dressing is occurring , then last week 's rally and any upward move in prices this week could easily evaporate after the end of the quarter .","If widespread window dressing is occurring , then last week 's rally and any upward move in prices this week could easily [Mask] after the end of the quarter .","Nevertheless , petroleum markets remain stubbornly soft despite recurring signals of a possible turnaround , including major gains in petroleum demand and supply interruptions , such as last week 's explosion that destroyed the Piper Alpha platform in the North Sea .",destroyed,32
20,0,melted,12,"In Mr. Kupfer 's `` Ring , '' a nuclear war has melted most of the world and made shopping difficult .","In Mr. Kupfer 's `` Ring , '' a nuclear war has [Mask] most of the world and made shopping difficult .","`` Americans regard as safe something you could plow into a wall without hurting yourself , '' he said .",plow,8
21,0,sleep,1,I sleep better when I compete . ''/'',I [Mask] better when I compete . ''/'',`` I think glasnost is bad when they attack Stalin . ''/'',attack,8
22,1,targeted,32,"The results of the study will be used by nonprofit groups eager to identify potential donors and will be incorporated into advertisements for the `` Give Five '' program that will be targeted next year to young professionals , Mr. O'Connell says .","The results of the study will be used by nonprofit groups eager to identify potential donors and will be incorporated into advertisements for the `` Give Five '' program that will be [Mask] next year to young professionals , Mr. O'Connell says .","`` Young adults tend to drink beer more for refreshment than any kind of connoisseur taste , '' he says .",drink,5
23,0,destroying,13,"Companies still spend billions of dollars printing and storing forms -- - and destroying them when , say , an address changes .","Companies still spend billions of dollars printing and storing forms -- - and [Mask] them when , say , an address changes .","With so many people earning free tickets so easily , the market is flooded with coupons , depressing their value .",flooded,13
24,1,attacked,24,"It turned out that a protein segment in cartilage is similar to the bacterial protein segment , which explained why the white cells also attacked the cartilage .","It turned out that a protein segment in cartilage is similar to the bacterial protein segment , which explained why the white cells also [Mask] the cartilage .","When eaten , the worms release bacteria that kill the insects .",kill,8
25,0,killed,2,The shelling killed two people in his kibbutz .,The shelling [Mask] two people in his kibbutz .,It pours toilet paper in parts of Michigan .,pours,1
26,1,attacks,17,The drought is spawning an explosion in the spider mite population by harming a plant fungus that attacks the tiny insects .,The drought is spawning an explosion in the spider mite population by harming a plant fungus that [Mask] the tiny insects .,"When eaten , the worms release bacteria that kill the insects .",kill,8
