index,label,expression,Positive_index,context,AnchorContext,NegativeSentence,NegativeExpression,Negative_index
0,0,note,1,Take note of this chemical reaction,Take [Mask] of this chemical reaction,The chemical clouded the liquid to which it was added .,clouded,2
1,0,informed,2,She had informed on her own parents for years,She had [Mask] on her own parents for years,She tugged for years to make a decent living,tugged,1
2,1,flowed,2,The artist flowed the washes on the paper,The artist [Mask] the washes on the paper,The painting discolored .,discolored,2
3,1,flowed,2,The artist flowed the washes on the paper,The artist [Mask] the washes on the paper,He fitted other pieces of paper to his cut - out,fitted,1
4,1,flowed,2,The artist flowed the washes on the paper,The artist [Mask] the washes on the paper,The drawing of the suspect answers to the description the victim gave,answers,5
5,0,acknowledges,2,He never acknowledges his colleagues when they run into him in the hallway,He never [Mask] his colleagues when they run into him in the hallway,He blazed away at the men .,blazed,1
6,0,nagged,1,she nagged to take a vacation,she [Mask] to take a vacation,She stepped into a life of luxury,stepped,1
7,0,exploded,1,We exploded the nuclear bomb,We [Mask] the nuclear bomb,We can lean on this man,lean,2
8,0,write,1,Please write to me every week .,Please [Mask] to me every week .,I have to level with you,level,3
9,0,discolored,2,The painting discolored .,The painting [Mask] .,The artist flowed the washes on the paper,flowed,2
10,0,heap,0,heap firewood around the fireplace,[Mask] firewood around the fireplace,He repaired to his cabin in the woods,repaired,1
11,0,fires,1,Oil fires the furnace,Oil [Mask] the furnace,the kettle was singing,singing,3
12,1,looped,3,The stunt pilot looped his plane .,The stunt pilot [Mask] his plane .,the pilot managed to land the airplane safely,land,4
13,1,looped,3,The stunt pilot looped his plane .,The stunt pilot [Mask] his plane .,The pilot kited for a long time over the mountains,kited,2
14,1,looped,3,The stunt pilot looped his plane .,The stunt pilot [Mask] his plane .,"fuel aircraft , ships , and cars",fuel,0
15,0,mellowed,3,Age and experience mellowed him over the years,Age and experience [Mask] him over the years,A puffing kind of man,puffing,1
16,1,squares,2,one idea squares with the other one,one idea [Mask] with the other one,The two pieces match .,match,3
17,1,squares,2,one idea squares with the other one,one idea [Mask] with the other one,refine a design or pattern,refine,0
18,1,squares,2,one idea squares with the other one,one idea [Mask] with the other one,join these two parts so that they fit together,join,0
19,0,depressed,3,The rising inflation depressed the economy,The rising inflation [Mask] the economy,The new measures deflated the economy,deflated,3
20,0,provides,1,He provides for his large family by working three jobs,He [Mask] for his large family by working three jobs,He heaped him with work,heaped,1
21,0,replaced,3,the con artist replaced the original with a fake Rembrandt,the con artist [Mask] the original with a fake Rembrandt,The artist flowed the washes on the paper,flowed,2
22,1,sensitized,1,She sensitized me with respect to gender differences in this traditional male - dominated society,She [Mask] me with respect to gender differences in this traditional male - dominated society,She specializes in Near Eastern history,specializes,1
